word	POS	IPA	Meaning	Example
take a seat	phr.v	/teɪk ə siːt/	ngồi xuống	Please ___ here.
waiter	n	/ˈweɪtər/	người phục vụ bàn	The ___ brought our food.
shortly	adv	/ˈʃɔːrtli/	sớm thôi	The bus will come ___.
until	conj/prep	/ənˈtɪl/	cho tới khi	Wait ___ I come back.
staff	n	/stæf/	nhân viên	The ___ is very helpful.
decide	v	/dɪˈsaɪd/	quyết định	I ___ to go home.
place	v	/pleɪs/	đặt, để	She ___ the book on the table.
order	n	/ˈɔːrdər/	đơn hàng, sự đặt hàng	Can I take your ___?
hall	n	/hɔːl/	hội trường	The meeting is in the ___.
secretary	n	/ˈsekrəteri/	thư ký	The ___ answered the phone.
membership	n	/ˈmembərʃɪp/	tư cách thành viên	I want to get a club ___.
join	v	/dʒɔɪn/	tham gia	Can I ___ your team?
contact	v/n	/ˈkɑːntækt/	liên lạc	Please ___ me by email.
suggestion	n	/səˈdʒestʃən/	sự gợi ý	Do you have any ___?
suggest	v	/səˈdʒest/	gợi ý	I ___ we eat here.
future	n/adj	/ˈfjuːtʃər/	tương lai	I want to be a doctor in the ___.
organize	v	/ˈɔːrɡənaɪz/	tổ chức	We ___ a small party.
make sure	phrase	/meɪk ʃʊr/	đảm bảo	___ the door is locked.
vegetarian	n/adj	/ˌvedʒəˈteriən/	người ăn chay	She is a ___.
plenty of	phrase	/ˈplenti əv/	nhiều	There is ___ food here.
prepare	v	/prɪˈper/	chuẩn bị	I ___ my bag last night.
remind	v	/rɪˈmaɪnd/	nhắc nhở	Please ___ me to call her.
whether	conj	/ˈweðər/	liệu rằng	I don't know ___ she is home.
provide	v	/prəˈvaɪd/	cung cấp	The school ___ free books.
right	adj	/raɪt/	đúng, chuẩn	That is the ___ answer.
accidentally	adv	/ˌæksɪˈdentəli/	tình cờ, vô tình	I ___ broke the glass.
leave	v	/liːv/	để lại, bỏ quên	I ___ my bag at school.
text	v	/tekst/	nhắn tin	She ___ me this morning.
no longer	phrase	/noʊ ˈlɔːŋɡər/	không còn	I ___ live there.
look for	phr.v	/lʊk fɔːr/	tìm kiếm	I am ___ my keys.
recently	adv	/ˈriːsəntli/	gần đây	I ___ moved to a new house.
plan	v	/plæn/	lập kế hoạch	I ___ to travel next year.
practise	v	/ˈpræktɪs/	luyện tập	I ___ English every day.
unwell	adj	/ʌnˈwel/	không khỏe	She feels ___ today.
instead	adv	/ɪnˈsted/	thay vào đó	I can't go, so she went ___.
invite	v	/ɪnˈvaɪt/	mời	She ___ me to her party.
documentary	n	/ˌdɑːkjəˈmentri/	phim tài liệu	We watched a ___ about animals.
natural world	n	/ˈnætʃərəl wɜːrld/	thế giới tự nhiên	I love learning about the ___.
project	n	/ˈprɑːdʒekt/	dự án, bài tập	I have a school ___ this week.
rare	adj	/rer/	quý hiếm	This is a ___ bird.
include	v	/ɪnˈkluːd/	bao gồm	The price ___ breakfast.
